time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,0.0594,0.1816,9.7798,1.2477,3.8463,0.8366
0.02,0.1412,0.0943,9.864,1.3127,2.8896,0.9064
0.04,0.0624,0.1951,9.9296,2.2692,4.4297,-0.2768
0.06,0.0409,0.0523,10.0645,2.5739,3.8608,1.0492
0.08,0.2529,0.1773,10.0249,3.143,3.152,2.8262
0.1,0.1376,0.1358,10.0723,4.579,3.0558,1.7796
0.12,0.2612,0.0768,10.1373,5.8056,2.6953,1.8029
0.14,0.3515,0.0358,10.238,7.9317,0.5226,0.6335
0.16,0.1794,0.0135,10.0577,6.8805,-0.5341,1.3774
0.18,0.3142,-0.0448,10.1883,8.0225,1.9758,1.6044
0.2,0.3419,0.0187,10.1665,4.6336,-2.1627,1.7605
0.22,0.1917,-0.1373,10.1041,5.2344,-2.049,3.1232
0.24,0.1031,-0.1534,10.059,3.6984,-4.9691,2.4591
0.26,0.1598,-0.1798,9.9919,2.434,-3.4316,0.1261
0.28,0.1374,-0.1925,9.9204,5.3307,-5.6364,0.0607
0.3,0.1334,-0.2219,9.8014,2.9102,-4.2015,-1.0277
0.32,-0.1254,-0.2042,9.7425,-3.3007,-5.1227,1.1623
0.34,-0.106,-0.1392,9.8794,1.1334,-6.1645,-1.4551
0.36,-0.2187,-0.2617,9.9888,-0.535,-3.2001,-0.7898
0.38,-0.2027,-0.2341,10.0387,-4.8229,-3.8007,-0.5086
0.4,-0.1677,-0.1863,10.1352,-4.3444,-3.1395,-2.4019
0.42,-0.1985,-0.197,10.1701,-7.7505,-2.0685,-3.1373
0.44,-0.2112,0.0143,10.1287,-6.086,0.4519,-3.3087
0.46,-0.3848,-0.1235,10.1153,-5.8196,0.5637,-2.7819
0.48,-0.4357,0.0362,10.1723,-5.2642,-1.7614,-0.8747
0.5,-0.1243,0.01,10.2906,-1.9608,2.4229,-1.0816
0.52,-0.1902,0.2603,10.1375,-6.3997,3.0816,-1.0343
0.54,-0.1257,0.1897,10.115,-2.7553,2.2936,-0.9258
0.56,-0.2787,0.1835,10.0331,-2.3911,3.7139,-0.9998
0.58,-0.1443,0.1414,10.0473,-3.2575,2.7221,0.3064
0.6,-0.1222,0.2254,9.8962,-1.1686,3.1186,0.6684
0.62,-0.1031,0.2056,9.8466,2.745,4.6505,0.9143
0.64,0.0734,0.1912,9.9184,1.0384,2.9493,0.664
0.66,0.1685,0.2022,9.9339,1.8827,2.3917,-0.9645
0.68,0.2433,0.1821,9.9556,3.9285,3.769,1.5482
0.7,0.1618,0.2531,10.031,3.4192,3.9261,0.6329
0.72,0.2696,0.0739,9.956,4.3167,1.3404,4.343
0.74,0.301,0.0877,10.108,5.957,0.8182,2.9294
0.76,0.3023,0.1381,10.1868,4.3504,2.297,1.0165
0.78,0.2375,-0.1108,10.1519,6.4922,-0.5919,1.7501
0.8,0.2504,-0.0673,10.1289,6.6408,0.8375,2.1284
0.82,0.2662,-0.2127,10.1909,5.8437,-3.0583,0.0149
0.84,0.264,-0.0562,10.1594,6.5168,-0.9093,1.4088
0.86,0.138,-0.1506,10.1378,4.4147,-2.1033,2.5655
0.88,0.1182,-0.1662,9.9722,2.9567,-3.3532,1.2751
0.9,0.1037,-0.1254,9.921,1.6754,-4.0408,1.0947
0.92,-0.0034,-0.1902,9.8786,0.7338,-6.3901,-2.2718
0.94,0.0872,-0.2719,9.8525,-1.6465,-4.4883,0.4578
0.96,-0.1688,-0.1529,9.8553,-3.1436,-4.0187,-0.391
0.98,-0.1181,-0.1716,9.8382,-4.035,-6.4194,-1.2719
1.0,-0.1994,-0.2255,10.0558,-3.072,-5.7828,0.2489
1.02,-0.2917,-0.0289,10.0648,-4.0214,-4.0704,-1.7705
1.04,-0.2227,-0.1294,10.0915,-5.1119,-1.813,-2.3609
1.06,-0.0616,0.1644,9.9531,-9.418,-1.278,3.0524
1.08,0.012,-0.0731,9.6812,-8.0646,13.1258,3.6006
1.1,-0.6161,0.0448,9.5022,6.5783,12.2541,6.5993
1.12,2.234,1.6045,8.1986,17.0766,22.351,3.0861
1.14,5.4985,1.1625,2.3022,91.5368,32.4391,19.6399
1.16,2.7002,1.0278,6.2987,45.7492,13.852,3.8496
1.18,0.9893,-0.1173,9.2128,8.9547,5.2959,-2.5543
1.2,0.8674,0.1728,9.6723,-5.6486,3.9676,7.2971
1.22,0.8388,0.1611,9.5548,-4.9337,-0.0336,3.1338
1.24,-0.212,0.0201,9.8542,-5.0799,0.0998,-3.2527
1.26,0.2711,0.6325,9.888,13.1596,0.804,-0.4822
1.28,0.0721,0.563,9.6506,-3.5357,-9.8819,-0.0711
1.3,-0.1105,-0.704,9.0933,-23.6364,-0.1595,-1.4845
1.32,1.3353,0.2858,0.592,50.2285,32.5027,11.0996
1.34,1.254,0.6312,0.7797,39.5874,15.7453,6.2729
1.36,1.033,0.3216,0.6256,42.814,25.0644,12.6415
1.38,1.2743,0.4995,0.3974,42.0076,19.6276,6.0895
1.4,1.0069,0.3314,0.8648,37.1151,9.1657,9.2896
1.42,0.8487,0.2468,0.7851,36.6201,16.8156,4.6994
1.44,0.8762,0.1549,0.5424,21.0785,18.0852,9.5314
1.46,1.1536,0.0978,0.447,27.0746,20.5831,2.996
1.48,0.9207,0.2441,0.5283,27.6394,10.2972,6.6523
1.5,0.7427,-0.0231,0.4756,20.0569,12.8582,5.6641
