time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,0.0786,0.1488,9.8821,3.4288,2.6294,0.4923
0.02,-0.0011,0.178,9.892,1.4563,3.673,-0.2826
0.04,0.0945,0.1704,9.9845,4.8772,2.1492,2.4899
0.06,0.2879,0.1792,9.9859,6.2735,3.6935,-0.0122
0.08,0.286,0.2197,10.0648,4.0451,3.9862,0.4989
0.1,0.1639,0.1051,10.1738,3.1449,2.811,1.2896
0.12,0.3346,0.004,10.1291,7.7364,0.2173,2.6134
0.14,0.2729,0.0581,10.1403,5.167,1.7005,0.431
0.16,0.271,-0.0225,10.167,2.1794,0.9659,0.3158
0.18,0.2411,0.0494,10.2006,2.5243,-0.5463,0.9763
0.2,0.3136,-0.1417,10.1312,5.6472,-0.5149,2.213
0.22,0.1515,-0.1128,10.1051,2.8268,-2.1646,2.2316
0.24,0.2239,-0.0405,10.1303,5.8034,-1.8923,3.3706
0.26,0.2289,-0.1825,9.9683,0.4166,-2.2232,1.6868
0.28,0.0835,-0.1202,9.9142,1.7926,-3.4636,1.0151
0.3,0.0714,-0.2387,9.8378,0.5277,-2.9001,0.0392
0.32,-0.0592,-0.1343,9.7922,-0.5396,-7.1845,0.4708
0.34,-0.0671,-0.1936,9.956,0.6385,-2.5793,-0.8421
0.36,-0.0614,-0.2999,9.9625,-2.3952,-3.2131,-2.3205
0.38,-0.1562,-0.0693,10.0299,-3.7935,-1.8847,-1.4335
0.4,-0.0998,-0.1472,10.0548,-6.3459,-2.8229,-1.2698
0.42,-0.305,-0.23,10.0621,-6.9805,-1.7371,-1.4063
0.44,-0.3512,-0.0696,10.1623,-6.0256,0.5558,-0.4003
0.46,-0.183,-0.0195,10.1746,-7.1186,-1.0079,-0.8771
0.48,-0.1977,0.0897,10.1425,-6.7656,1.3462,-3.8812
0.5,-0.1606,0.0768,10.1599,-5.931,1.737,-1.1361
0.52,-0.168,0.1136,10.165,-4.401,3.6563,-2.4605
0.54,-0.2395,0.1265,10.1286,-4.9016,2.5712,-1.6531
0.56,-0.1379,0.157,9.9808,-1.0735,5.8911,-0.571
0.58,-0.1065,0.1302,10.0302,-1.5526,4.1633,-2.234
0.6,0.0176,0.2126,9.9395,1.1214,4.0629,-1.1865
0.62,0.0646,0.1363,9.7912,-1.6412,2.1116,0.26
