time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,-0.0739,0.2373,9.8384,-1.465,7.7958,0.7398
0.02,0.011,0.3138,10.0038,3.6418,4.3969,2.0482
0.04,0.0022,0.2953,9.9805,2.0239,5.3862,1.186
0.06,0.2155,0.3013,10.0905,4.3505,4.7599,5.1057
0.08,0.2884,0.2319,10.1175,7.0071,3.5233,3.8829
0.1,0.4189,0.2844,10.1913,6.7718,-1.1498,3.0304
0.12,0.3028,0.0771,10.2577,7.9665,-0.1713,3.9152
0.14,0.5174,0.0836,10.2656,7.6885,0.0759,3.4284
0.16,0.2823,0.1006,10.1019,9.1282,-2.7131,1.8375
0.18,0.3356,0.1484,10.2497,7.7995,-5.1679,1.3591
0.2,0.1461,0.2229,10.0347,5.9895,-2.0622,-0.0642
0.22,0.2078,0.1532,9.9974,7.1096,-6.7983,1.0644
0.24,0.0289,0.052,9.9602,5.1661,-2.9141,-1.3613
0.26,-0.0175,0.0014,9.811,2.6437,-5.5805,-1.5087
0.28,-0.1067,0.033,9.8238,5.7644,-4.7259,-0.9027
0.3,-0.2347,0.0043,10.003,1.3825,-5.2273,-2.9459
0.32,-0.1736,-0.0208,9.9904,2.4864,-4.6376,-2.4446
0.34,-0.3437,-0.1077,10.0827,0.9807,-3.3756,-1.186
0.36,-0.2845,-0.2011,10.1408,-1.3509,0.6771,-3.2273
0.38,-0.3996,-0.0737,10.2342,-4.9442,-3.1928,-3.606
0.4,-0.3974,-0.2651,10.122,-6.1071,-0.0782,-2.7211
0.42,-0.4483,-0.2002,10.1274,-8.1039,1.8725,-1.3137
0.44,-0.2592,-0.1602,10.1557,-5.1888,3.3367,-0.3069
0.46,-0.2939,-0.2104,10.1526,-9.964,3.0854,-1.8412
0.48,-0.2321,-0.1947,10.0852,-10.1841,2.8779,0.6381
0.5,-0.1782,-0.2002,9.9636,-8.4037,4.2086,0.8139
0.52,-0.2875,-0.3314,9.8963,-10.3557,8.1102,1.456
0.54,0.024,-0.2296,9.8028,-9.2967,5.8948,2.1862
0.56,0.1277,-0.3224,10.0035,-9.1579,5.4222,1.1104
0.58,0.0759,-0.1763,10.0388,-6.8058,3.7215,1.096
0.6,0.2737,-0.3079,10.0552,-6.0011,6.3788,1.3287
0.62,0.3736,-0.1958,10.1455,-3.7119,3.0956,3.3186
0.64,0.4284,-0.1428,10.0751,-1.2392,2.9475,2.6734
0.66,0.4862,-0.158,10.2346,-0.3027,1.1254,0.831
0.68,0.3273,-0.1997,10.191,-2.2221,-0.1212,-2.0501
0.7,0.3168,-0.2478,10.1884,6.7955,-0.9811,-0.525
0.72,0.413,-0.1249,10.142,5.6007,-2.4487,-0.5359
0.74,0.2581,-0.0726,10.0693,5.4415,-4.1928,-1.5658
0.76,0.2062,-0.1745,10.1331,6.0574,-5.3969,-3.6625
0.78,0.1114,-0.0379,9.9662,7.4575,-2.8762,-3.6391
0.8,0.0474,-0.0822,9.8729,7.416,-5.1695,-3.4892
0.82,0.1181,-0.0726,9.8242,7.6921,-5.3256,-1.206
0.84,-0.1543,0.008,9.9512,9.9213,-4.332,-1.2808
0.86,-0.2254,0.0249,10.035,6.7681,-6.2653,-2.0554
0.88,-0.22,0.1649,10.1405,4.6075,-4.2656,-1.2495
0.9,-0.2096,0.1647,10.2361,5.8435,-2.3556,-0.4063
0.92,-0.2564,0.1901,10.1959,2.5447,-0.6944,-0.2106
0.94,-0.3111,0.1361,10.1952,3.0253,-2.3502,1.6369
0.96,-0.3872,0.094,10.1853,2.7252,-1.3363,3.3898
0.98,-0.1422,0.1583,10.2286,1.0676,4.4522,0.0074
1.0,-0.4303,0.3032,10.2053,2.6914,2.9455,3.6957
1.02,-0.2076,0.2576,9.9666,1.5952,1.6512,2.5174
1.04,-0.2614,0.2003,10.0417,-1.0168,6.1763,2.5014
1.06,-0.024,0.1709,9.9828,-0.4123,2.1369,0.9142
1.08,-0.0105,0.1856,9.8231,-6.4262,4.5134,4.1544
1.1,0.0548,0.2077,9.8273,-5.3313,5.5658,0.6989
1.12,0.2396,0.1183,9.9787,-8.0265,4.6283,-0.3191
1.14,0.2215,0.2406,10.0049,-5.783,2.347,-1.852
1.16,0.2735,0.2149,10.1246,-5.8055,3.6845,-1.7384
1.18,0.3219,0.1529,10.1922,-8.9955,0.0276,-0.1404
1.2,0.3232,0.1556,10.2207,-13.2541,-0.1043,-4.2735
1.22,0.3598,0.1659,10.2496,-5.1145,-2.6831,-3.2392
1.24,0.3208,0.1838,10.1738,-7.291,-2.2411,-5.687
1.26,0.3149,0.1108,10.1242,-5.8346,-2.5781,-0.5971
1.28,0.2358,0.1567,10.1022,-3.5175,-5.3462,-2.1696
1.3,0.1505,-0.0245,10.0059,-0.0063,-3.9639,-1.0099
1.32,0.0057,0.0755,9.895,-2.7533,-4.9026,-1.7247
1.34,-0.083,0.1365,9.8402,2.0251,-4.6999,-1.6352
1.36,-0.1297,-0.0182,9.947,0.431,-2.7069,0.8952
1.38,-0.1805,-0.066,9.9347,1.6663,-4.3539,0.4681
