time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,0.0009,0.0081,9.7715,-1.2435,-2.0021,1.864
0.02,0.0547,-0.0343,9.8757,1.609,0.5031,-0.5639
0.04,0.0135,0.0421,9.8242,-1.1842,-0.0829,0.6993
0.06,0.037,0.0759,9.8085,0.787,-0.8427,0.8482
0.08,-0.0549,0.0372,9.7971,2.1733,0.5161,-1.9758
0.1,-0.0338,-0.0386,9.8928,1.7892,-0.7216,-0.614
0.12,-0.071,0.0152,9.8559,0.1319,0.3549,-0.6749
0.14,0.0601,0.0411,9.893,-1.8265,0.1789,0.0332
0.16,-0.0064,-0.0622,9.8317,-0.0677,-0.3326,0.1325
0.18,0.0757,0.0148,9.7864,-0.1164,1.3223,1.7701
0.2,-0.0669,-0.0393,9.8515,0.4641,1.1557,-0.0628
0.22,-0.0713,-0.0581,9.8784,0.3587,1.4874,0.1716
0.24,0.0954,0.0114,9.7816,-1.493,-1.6264,-1.5372
0.26,0.0016,-0.0523,9.8224,-1.0394,-0.888,-1.2455
0.28,-0.0102,0.0065,9.7769,0.5744,0.6737,0.8324
0.3,0.0342,0.0386,9.7973,-0.1796,0.2104,-0.3054
0.32,0.0261,-0.0965,9.7536,-0.0168,0.9895,1.9427
0.34,0.021,-0.0895,9.7961,2.2108,0.8695,-2.0799
0.36,-0.0306,-0.0502,9.7754,0.7663,-0.284,0.4246
0.38,-0.0541,0.0287,9.7429,-1.3353,-1.3879,-0.3529
0.4,-0.0051,0.0483,9.861,-0.83,1.7932,-0.4464
0.42,-0.0022,-0.0723,9.8499,-0.4505,0.5284,-1.2674
0.44,-0.0372,0.013,9.8252,0.2963,0.1218,0.2612
0.46,0.06,-0.0093,9.8536,-0.4623,3.2318,1.459
0.48,0.0682,-0.0191,9.8057,-0.5975,-1.1684,-1.2469
0.5,0.0212,0.0836,9.8438,-0.0495,-0.0078,0.236
0.52,-0.0795,-0.0061,9.8294,0.7667,0.4127,-0.322
0.54,0.0711,-0.0194,9.7748,-0.2506,1.5134,1.6935
0.56,0.0244,0.1206,9.8004,0.5934,0.0642,0.4014
0.58,0.03,-0.031,9.8318,-1.2031,-1.5435,0.4789
0.6,0.0174,-0.0344,9.77,-0.9847,-1.1122,-0.5362
0.62,-0.073,-0.0047,9.8199,1.7507,-0.1503,-0.5997
0.64,-0.0097,0.0093,9.8342,-1.1752,0.5977,-0.6203
0.66,0.0014,-0.0302,9.7732,-0.0832,-1.4181,-1.8132
0.68,0.0372,-0.0639,9.7644,-0.4826,-0.7464,-2.1244
0.7,-0.0025,0.0198,9.7618,0.4932,2.2482,1.2391
0.72,-0.051,-0.0089,9.8016,1.0594,0.1106,0.0031
0.74,0.0472,0.082,9.8513,0.7636,-2.0601,0.1812
0.76,-0.0827,0.0467,9.8087,-1.253,0.7791,1.0414
0.78,0.0066,-0.0156,9.8285,0.4076,-0.2026,-0.0125
0.8,0.0102,-0.0615,9.8907,0.4434,0.0312,0.6132
0.82,-0.0912,-0.0107,9.7727,0.2159,-0.9739,-1.2663
0.84,-0.0274,0.008,9.7347,-0.0424,-0.1401,-0.1331
0.86,-0.0933,0.0519,9.7732,-1.1555,-1.8536,0.9344
0.88,0.0142,0.1353,9.8215,-0.1411,0.8902,1.2262
0.9,-0.0515,0.0022,9.741,0.5055,-0.687,0.2474
0.92,-0.0496,-0.0414,9.77,1.7896,-0.6673,-1.3976
0.94,-0.0362,-0.0385,9.8357,-1.0674,-0.4087,-0.2612
0.96,-0.0144,0.0779,9.8479,1.7796,-1.3097,-0.058
0.98,-0.034,-0.0151,9.8854,-0.8178,-0.3591,-0.7162
1.0,0.0666,0.0856,9.8026,1.7769,-1.0654,-0.3574
1.02,-0.0352,-0.0371,9.7925,0.2735,-1.0881,-0.2467
1.04,-0.0005,-0.0222,9.8618,0.1664,1.7907,0.7074
1.06,-0.0534,0.0084,9.8468,-0.5502,-0.6462,1.338
1.08,0.0341,-0.0997,9.7198,-1.828,-0.2939,0.524
1.1,0.0379,0.0104,9.7812,-1.0317,0.1466,-0.3571
1.12,0.1528,-0.0042,9.7578,2.5012,-1.8374,-2.6374
1.14,0.1668,-0.0253,9.8705,-1.2846,-1.4546,-0.555
1.16,0.1809,-0.0463,9.629,2.686,0.6695,3.1228
1.18,0.1949,-0.0673,9.6789,2.1188,0.0348,0.4099
1.2,0.2088,-0.0883,9.6247,2.2479,-1.784,-1.1219
1.22,0.2227,-0.1091,9.6946,7.6532,-0.0746,1.8385
1.24,0.2365,-0.1298,9.5258,4.2804,-1.6671,0.3271
1.26,0.2502,-0.1503,9.6007,5.6999,-8.6692,1.4732
1.28,0.2638,-0.1707,9.5317,9.646,-3.2012,2.8326
1.3,0.2772,-0.1908,9.4005,11.1736,-8.6301,3.3931
1.32,0.2905,-0.2107,9.4796,12.0293,-4.6891,3.0927
1.34,0.3035,-0.2303,9.318,5.2093,-4.3262,1.411
1.36,0.3164,-0.2497,9.2424,10.1091,-9.7073,1.1966
1.38,0.3291,-0.2687,9.2837,15.536,-7.4958,4.7796
1.4,0.3416,-0.2874,9.2272,14.9241,-4.6796,2.9256
1.42,0.3538,-0.3058,9.1285,16.4764,-5.1564,2.5641
1.44,0.3658,-0.3237,9.1936,14.0593,-9.9615,4.8338
1.46,0.3775,-0.3413,9.0287,15.5223,-6.7213,4.3214
1.48,0.389,-0.3584,9.1766,12.6641,-10.7435,4.6263
1.5,0.4001,-0.3751,9.0278,10.3297,-10.5645,1.5511
1.52,0.4109,-0.3914,9.0413,12.9047,-8.7663,4.4626
1.54,0.4214,-0.4071,9.0037,13.328,-11.5808,6.0916
1.56,0.4316,-0.4224,8.9875,15.4298,-10.8693,8.2126
1.58,0.4414,-0.4371,8.9065,20.4663,-11.7653,6.6864
1.6,0.4509,-0.4513,8.9212,19.1442,-9.9327,7.1796
1.62,0.46,-0.4649,8.8226,21.052,-12.106,4.9592
1.64,0.4687,-0.478,8.9064,18.6196,-12.6702,6.5698
1.66,0.477,-0.4905,8.7023,19.3101,-11.3943,7.8344
1.68,0.4849,-0.5023,8.8207,21.9297,-13.6735,7.2627
1.7,0.4924,-0.5135,8.7376,19.1779,-12.8406,8.4912
1.72,0.4994,-0.5241,8.8357,22.1109,-13.435,5.6598
1.74,0.5061,-0.5341,8.6859,17.8369,-16.8039,8.6069
1.76,0.5123,-0.5434,8.7099,26.4975,-11.8843,9.6255
1.78,0.518,-0.552,8.6773,25.0647,-13.1195,4.3617
1.8,0.5233,-0.5599,8.7242,28.4239,-13.2574,6.8196
1.82,0.5281,-0.5672,8.7721,24.7053,-12.1137,11.3573
1.84,0.5325,-0.5737,8.6521,17.435,-14.5386,6.8505
1.86,0.5363,-0.5795,8.7117,20.7767,-15.0415,9.7583
1.88,0.5398,-0.5846,8.7062,27.4127,-14.8252,8.1712
1.9,0.5427,-0.589,8.7232,26.2344,-15.9537,6.1314
1.92,0.5451,-0.5927,8.6796,27.6442,-16.0614,6.132
1.94,0.5471,-0.5956,8.6788,26.2874,-12.7995,8.3487
1.96,0.5485,-0.5978,8.5343,25.4275,-18.0512,5.6731
1.98,0.5495,-0.5992,8.5073,22.1519,-14.4894,9.1905
2.0,0.55,-0.5999,8.5947,25.9836,-11.8283,8.09
2.02,0.5499,-0.5999,8.6824,21.2522,-17.8887,8.6815
2.04,0.5494,-0.5991,8.6303,27.2177,-11.9,8.9682
2.06,0.5484,-0.5976,8.5543,22.9695,-14.0535,5.6632
2.08,0.5469,-0.5953,8.5664,20.784,-15.9647,8.1281
2.1,0.5449,-0.5923,8.6638,24.0223,-12.9511,7.0744
2.12,0.5424,-0.5886,8.6336,24.7066,-13.8421,7.3122
2.14,0.5394,-0.5841,8.7165,22.3919,-17.1362,7.9601
2.16,0.536,-0.5789,8.7116,25.8925,-14.937,6.9852
2.18,0.532,-0.573,8.6545,23.4431,-13.6515,6.1996
2.2,0.5276,-0.5664,8.6391,23.4141,-13.202,6.5382
2.22,0.5227,-0.5591,8.5722,21.7883,-14.9054,9.5496
2.24,0.5174,-0.5511,8.7375,22.1632,-11.3965,7.1283
2.26,0.5116,-0.5424,8.7209,20.653,-10.1088,8.8137
2.28,0.5054,-0.5331,8.6902,25.8272,-12.2376,8.8522
2.3,0.4987,-0.523,8.7208,22.29,-11.876,3.7516
2.32,0.4916,-0.5124,8.7717,23.3255,-11.6009,9.9882
2.34,0.484,-0.5011,8.8715,24.052,-11.7939,6.4314
2.36,0.4761,-0.4891,8.8036,21.3079,-8.2376,3.6544
