time_s,Ax,Ay,Az,Gx,Gy,Gz
0.0,0.0248,0.0166,9.8155,-0.6707,0.8583,0.0375
0.02,-0.029,0.0056,9.798,-0.3855,0.1484,-0.0321
0.04,-0.038,-0.0241,9.7922,0.9706,-0.4911,-0.2137
0.06,-0.0434,-0.0484,9.8811,0.291,-0.7676,-0.5164
0.08,-0.0068,-0.0319,9.7754,-0.7959,-0.5723,0.8501
0.1,0.0316,-0.0141,9.8007,-0.0096,0.3489,0.9884
0.12,-0.0643,0.0129,9.7827,0.1666,0.3746,0.3446
0.14,0.0089,0.0247,9.866,0.079,-0.2483,0.5449
0.16,-0.0237,-0.0389,9.8205,-0.0752,-0.7642,-0.5509
0.18,0.0182,-0.0183,9.8194,-0.4797,0.2724,-0.1338
0.2,0.0099,0.0259,9.8191,-0.1287,-0.6955,-0.1589
0.22,-0.0007,0.0221,9.7907,1.2805,0.2767,-0.2281
0.24,-0.0129,-0.039,9.8211,0.3382,0.3009,-0.6251
0.26,0.05,0.0019,9.7884,0.1733,0.172,-0.1075
0.28,-0.0076,-0.0314,9.7716,-1.1674,-0.3463,0.1603
0.3,-0.0191,-0.0256,9.8333,0.3525,0.2203,0.4656
0.32,-0.0059,-0.0616,9.7885,0.0891,0.1305,-0.1877
0.34,0.0602,-0.0773,9.796,-0.6404,-0.9316,-0.0402
0.36,0.0036,0.0079,9.8455,-0.5033,0.3288,0.0453
0.38,-0.0177,0.0278,9.8237,0.5964,0.1337,-0.0067
0.4,0.0352,-0.006,9.7919,0.3305,-1.0178,-0.4684
0.42,-0.0022,0.0086,9.8214,0.4015,0.0564,0.391
0.44,0.0027,-0.0055,9.8526,0.3716,0.0661,-0.2557
0.46,-0.0101,-0.0511,9.8217,-0.8428,-0.1387,0.305
0.48,0.0041,-0.0125,9.8363,0.0073,0.3627,0.5939
0.5,0.0137,0.0194,9.8229,-0.7034,-0.3509,-0.0698
0.52,0.0181,0.0205,9.7693,0.8575,-0.0382,-0.3907
0.54,0.0358,-0.0132,9.836,0.124,0.3278,-0.6826
0.56,0.0276,0.0203,9.7872,-0.1869,-0.1949,-0.1468
0.58,0.0148,0.0054,9.8073,0.4526,0.3265,-0.4556
0.6,-0.0285,0.0664,9.8313,-0.5664,0.8344,-0.2842
0.62,0.0594,-0.0029,9.8509,-0.7759,0.5554,-0.667
0.64,0.0189,0.0317,9.8519,-0.5753,-0.3924,0.1676
0.66,0.013,0.0121,9.8265,-0.3886,0.5315,0.123
0.68,0.031,-0.0345,9.8523,0.0241,0.1359,-0.3482
0.7,0.0428,0.027,9.7539,0.3234,0.817,-0.0578
0.72,-0.0038,-0.0195,9.764,0.8942,-0.6028,0.228
0.74,0.0019,-0.0149,9.8486,0.0799,-0.9451,0.2065
0.76,-0.0182,-0.0475,9.8278,-0.3963,0.9174,0.2461
0.78,-0.0275,-0.0452,9.8662,0.6251,0.1332,0.4753
0.8,0.041,-0.0706,9.8348,-0.2248,-0.2966,0.3914
0.82,-0.0001,0.0248,9.7933,0.6462,0.7152,0.2987
0.84,0.0147,0.0028,9.8339,0.3296,-0.1699,0.4964
0.86,0.0168,-0.0187,9.8064,0.3332,0.6708,-0.118
0.88,-0.0006,-0.0247,9.8052,-0.0104,1.1295,-0.135
0.9,-0.0097,0.0587,9.7834,-0.6915,-0.658,0.3409
0.92,0.0252,-0.0209,9.8058,0.1273,0.3768,-0.5933
0.94,0.0179,0.0187,9.801,-0.0723,0.3039,-0.4329
0.96,0.0327,0.0234,9.7901,0.1415,0.2582,0.0438
0.98,0.0753,0.0205,9.8297,-0.4812,1.2824,-1.0749
1.0,0.0024,0.0081,9.7764,0.6607,-0.8793,-0.0628
1.02,-0.0161,-0.0368,9.8101,0.7214,-0.7561,-0.2985
1.04,-0.0136,0.0211,9.8334,0.1577,-0.206,0.3333
1.06,0.0752,0.0068,9.8201,0.0277,0.0477,-0.4286
1.08,-0.018,-0.0192,9.8491,0.4567,-0.0165,-0.0178
1.1,-0.0009,0.065,9.819,-0.218,0.5307,-0.4624
1.12,-0.0182,0.0092,9.8104,-0.1579,0.0938,0.3484
1.14,0.0605,0.0576,9.8097,-0.3484,-0.1354,0.3065
1.16,0.0003,-0.0168,9.7763,-0.0367,-0.014,-0.637
1.18,0.0199,0.037,9.8035,-0.2539,0.093,0.4241
1.2,-0.0147,0.0161,9.8395,-0.9022,-0.334,0.0896
1.22,0.0381,0.0229,9.8056,0.4619,-0.5132,0.1012
1.24,-0.0141,-0.0562,9.7643,0.7742,-0.4073,0.1185
1.26,0.0539,0.0106,9.8568,-0.5976,-0.7227,-0.4511
1.28,0.01,0.035,9.8135,-0.479,-0.0582,0.3256
1.3,0.0144,0.0245,9.7875,-0.0069,-0.8284,-0.4057
1.32,-0.0192,0.0111,9.8089,0.9345,0.824,0.115
1.34,0.0134,0.0297,9.7851,0.2739,1.0016,0.127
1.36,0.0705,0.0085,9.7894,0.2222,-0.1938,0.4055
1.38,0.0143,0.0123,9.7985,0.515,0.2275,0.6686
1.4,0.0469,0.0146,9.8187,-0.6968,0.9345,0.2249
1.42,0.0051,-0.0534,9.7936,0.3373,-0.3721,-0.0117
1.44,0.0024,0.0227,9.8126,1.4283,0.2275,-0.5542
1.46,-0.0123,0.0105,9.863,-0.3166,0.1745,-0.1585
1.48,-0.0663,0.0454,9.7723,-0.8163,-0.0392,-0.058
1.5,0.0287,-0.0061,9.9064,0.354,-0.0157,-0.152
1.52,0.0005,-0.0549,9.774,-0.4255,-0.3376,0.3196
1.54,0.0451,0.0218,9.7836,-0.3735,-0.0856,-0.7544
1.56,0.0168,-0.0005,9.8519,0.6229,-0.8311,-0.01
1.58,-0.0621,0.0222,9.8019,0.1154,-0.0701,-0.4475
1.6,-0.0093,0.006,9.7875,-0.5648,-0.7416,-0.0415
1.62,-0.0046,0.0328,9.7881,-0.2532,-0.509,-0.5671
1.64,-0.0454,0.0418,9.8088,-0.0862,-0.1865,0.1532
1.66,-0.068,0.047,9.8061,-0.0474,-0.1177,-0.1166
1.68,-0.0097,-0.0457,9.8092,-0.0397,0.3302,0.5658
1.7,-0.0668,0.0015,9.8234,-0.3434,0.3973,-0.5138
1.72,-0.0245,-0.022,9.818,-0.0952,0.1756,0.0504
1.74,0.0235,-0.026,9.7947,0.3015,-0.3556,0.7524
1.76,0.0057,0.039,9.8332,0.2955,-0.0267,-0.3637
1.78,-0.006,0.0252,9.8058,0.2478,0.2592,0.5048
1.8,-0.0061,0.0054,9.8506,-0.6124,0.4008,0.5539
1.82,0.0014,-0.0336,9.8136,0.4647,0.9676,0.4389
1.84,-0.0273,-0.0458,9.7921,0.2393,0.3932,-0.3476
1.86,-0.0137,0.0192,9.865,-0.2142,0.6644,0.2765
1.88,0.0202,0.0015,9.7961,0.2809,0.4894,-0.1419
1.9,-0.0314,0.0501,9.7742,0.9964,0.795,-0.2721
1.92,-0.0212,0.0137,9.8332,0.4297,-0.4809,0.7226
1.94,-0.0062,-0.0097,9.7912,-0.1986,0.6707,-0.466
1.96,0.0058,0.0084,9.8796,-0.0178,-0.4388,0.6358
1.98,0.0319,-0.0682,9.8313,0.3558,0.0155,-0.25
2.0,-0.0814,-0.017,9.8245,0.2021,-1.2176,-0.2017
2.02,0.0407,0.0344,9.8139,-0.808,1.2699,-0.0463
2.04,0.0083,0.0092,9.7955,0.2558,-0.4076,-1.0862
2.06,0.0174,0.0589,9.8373,0.412,-0.3818,0.3254
2.08,0.0309,-0.0697,9.8374,-0.7855,-0.0211,-0.1844
2.1,0.0095,0.0101,9.7939,0.057,0.1798,0.0921
2.12,-0.0172,-0.0127,9.8101,0.4494,-0.2998,-0.2941
2.14,0.0275,-0.0601,9.807,0.1273,0.3995,0.124
2.16,0.0163,0.0021,9.8436,0.4142,0.5436,-0.343
2.18,0.0069,-0.0199,9.794,-0.2788,0.0497,-0.3489
2.2,-0.0647,0.0317,9.7721,0.3439,-0.5073,1.1178
2.22,-0.0346,0.0495,9.8092,-0.3182,-0.2321,-0.1195
2.24,0.0373,-0.0222,9.7913,-0.2637,0.4027,0.1161
2.26,0.0182,0.0205,9.8088,-0.2319,-0.2055,0.0913
2.28,-0.0283,-0.0277,9.7857,-0.5918,0.1451,0.0771
2.3,-0.0172,-0.0574,9.801,-0.5841,0.4974,0.4368
2.32,0.0139,0.0367,9.7986,0.1559,0.5118,-0.8133
2.34,-0.0118,0.0102,9.8187,-0.4354,-0.1978,-0.1865
2.36,-0.0079,-0.0559,9.7877,-0.2044,0.373,0.3898
2.38,-0.0433,-0.0258,9.822,-0.7471,-0.002,-0.0598
2.4,-0.0346,-0.0069,9.8209,-0.6741,0.6537,-0.2186
2.42,-0.0704,0.0025,9.7838,-0.1746,-0.0845,-0.2246
2.44,0.0549,0.0145,9.7807,-0.9364,-0.0495,0.3622
2.46,-0.0357,0.0007,9.8208,-0.5998,0.2595,-0.0833
2.48,-0.0347,0.0203,9.8255,0.7318,0.7221,0.1666
2.5,-0.0882,-0.005,9.7855,-0.6111,0.4246,0.452
2.52,-0.0253,-0.0005,9.795,0.2819,0.8708,0.1269
2.54,-0.0084,-0.0204,9.7895,0.2309,-0.1774,0.4328
2.56,-0.0716,0.0164,9.7979,-0.6394,-0.4308,0.5351
2.58,0.0403,0.0088,9.7656,-1.0008,-0.3863,-0.1813
2.6,-0.0553,0.0287,9.8131,0.2128,-0.538,0.361
2.62,-0.0526,0.043,9.8159,0.6288,-1.1218,-0.1761
2.64,-0.0771,0.0217,9.7878,0.6321,0.585,-0.2916
2.66,-0.0135,-0.0103,9.7615,0.8094,-0.2266,0.1046
2.68,0.033,-0.0254,9.8206,0.031,0.6586,0.3712
2.7,-0.0084,0.0276,9.8353,-0.2696,-0.6269,-0.3144
2.72,-0.077,0.0202,9.8108,-0.691,0.0204,0.0715
2.74,-0.0422,0.0445,9.8039,-0.9783,-0.886,-0.0943
2.76,-0.013,-0.0483,9.753,-0.4525,-0.3888,-0.1453
2.78,-0.0598,-0.0267,9.8073,0.908,-0.1488,-0.9965
2.8,-0.0135,0.0322,9.7791,-0.2484,0.9299,-0.6752
2.82,-0.034,0.0113,9.8402,0.2233,-0.0346,-0.2058
2.84,-0.0204,-0.0347,9.8168,-0.3593,-0.602,-0.0319
2.86,-0.001,-0.0338,9.816,-0.9411,-0.3753,0.5323
2.88,0.0223,0.0509,9.7852,0.5457,-0.3859,-0.5033
2.9,-0.0023,-0.0127,9.843,-0.4414,0.6869,-0.3936
2.92,0.0021,0.0135,9.8105,0.3429,-0.5507,0.1848
2.94,-0.034,0.031,9.7923,1.1397,-0.962,0.4081
2.96,-0.0357,-0.0272,9.7906,-0.3237,-0.2838,0.453
2.98,-0.0359,0.003,9.8057,0.4354,-0.4024,-0.1636
3.0,0.013,0.0135,9.828,1.1217,-0.2019,0.3303
3.02,-0.0049,-0.0261,9.7708,-0.8197,-0.1789,-0.4406
3.04,-0.0428,-0.0077,9.7992,1.2878,0.6536,0.2238
3.06,0.0193,-0.0054,9.8536,-0.7469,-0.398,0.1534
3.08,0.0271,0.0342,9.8356,0.4673,-0.3852,0.0135
3.1,-0.0018,0.0408,9.7965,0.3448,0.0953,-0.6905
3.12,-0.0654,0.0246,9.7894,-0.3471,-0.2995,-0.1715
3.14,-0.0185,-0.0654,9.8693,0.384,-0.3511,0.3817
3.16,0.0166,0.0521,9.7971,0.1983,0.8195,0.158
3.18,-0.0216,0.0301,9.8001,-0.2363,-0.0499,0.2039
3.2,-0.0122,0.0368,9.8093,-0.4266,-0.1576,-0.2067
3.22,-0.0323,0.0258,9.7824,-0.25,-0.0185,0.5833
3.24,0.0084,0.0038,9.7902,-0.4425,0.0624,0.0107
3.26,0.016,0.0631,9.8009,-0.0638,0.6162,-0.6411
3.28,-0.0227,0.0084,9.8185,-0.588,-0.6713,0.3889
3.3,0.0207,0.0169,9.8082,0.518,0.3731,0.0297
3.32,0.0165,0.0247,9.7899,-0.3548,0.714,-0.7288
3.34,0.014,-0.0272,9.801,-0.5571,0.4294,0.1071
3.36,0.0196,0.0657,9.8227,-0.3369,-0.2131,-0.0847
3.38,-0.0154,-0.044,9.82,-0.4179,-0.6594,0.192
3.4,-0.0197,-0.0493,9.8051,0.111,1.0213,-0.0974
3.42,0.0786,-0.0249,9.8017,-0.9592,-0.4332,-0.4708
3.44,-0.0518,-0.0209,9.7973,-0.4878,0.4455,-0.3575
3.46,0.0197,0.0094,9.818,0.3534,0.4501,-0.1363
3.48,-0.0301,0.005,9.804,0.487,-0.6463,0.1832
3.5,0.0341,-0.0492,9.815,-0.1814,0.1255,-0.5045
3.52,-0.0056,-0.0058,9.7824,-0.0169,-0.1329,0.1068
3.54,-0.0335,-0.0202,9.7966,0.8464,-0.2386,-0.1462
3.56,0.0121,0.0133,9.8402,-0.344,0.3696,0.6069
3.58,0.0112,-0.0361,9.7872,-0.5801,-0.5322,0.0651
3.6,-0.0172,0.0117,9.7875,0.9686,-0.4705,0.0442
3.62,-0.0032,0.0391,9.7867,-0.6311,-0.2752,-0.2615
3.64,0.0427,-0.0032,9.7814,0.1064,-0.2652,0.3523
3.66,-0.0563,-0.0287,9.8029,-0.9306,-0.0675,0.5481
3.68,0.0399,-0.0208,9.8463,-0.2533,-0.0733,0.1865
3.7,0.0226,0.039,9.7316,0.3336,-0.1241,-0.1654
3.72,0.0543,-0.0134,9.7619,0.2319,0.0714,-0.5494
3.74,0.0103,0.0441,9.8253,-0.6665,-0.1974,-0.432
3.76,0.0478,0.0635,9.7811,0.1166,-0.1905,0.1089
3.78,-0.0089,0.0362,9.8066,-0.5744,0.5105,0.2784
3.8,0.036,-0.0205,9.8183,0.7208,0.5752,0.6473
3.82,-0.0604,-0.0177,9.8072,0.0765,0.1315,-0.6576
3.84,0.029,-0.0557,9.7764,0.0594,0.2359,-0.329
3.86,-0.0269,-0.0004,9.7981,0.1672,0.493,-0.2944
3.88,0.0526,-0.0228,9.8221,0.2207,0.1714,0.2409
3.9,0.0129,-0.0526,9.7925,-0.4133,-0.1748,0.425
3.92,0.0173,0.0544,9.8371,-0.0099,-0.0805,-0.2997
3.94,0.0625,-0.0059,9.7646,0.0621,0.1609,-0.2713
3.96,0.0088,0.037,9.8026,-0.6344,0.6039,-0.0161
3.98,0.0335,0.0694,9.7803,0.6111,0.5413,0.1027
4.0,0.0393,0.0522,9.8181,0.1191,-0.4344,0.4916
4.02,0.0146,-0.0071,9.8429,0.5095,0.5162,-0.1632
4.04,0.0254,-0.023,9.8406,0.1305,-0.0954,-0.2386
4.06,-0.006,-0.0047,9.8542,0.6243,0.4627,0.5528
4.08,-0.0165,0.041,9.8127,0.6293,0.1709,-0.5129
4.1,-0.0226,0.0152,9.8,0.265,-1.8949,0.7316
4.12,-0.0104,0.0331,9.7911,0.4811,-0.4843,0.2545
4.14,0.0046,0.0045,9.7907,-0.0946,0.298,0.1417
4.16,0.0375,-0.0528,9.8107,-0.688,0.2894,0.1169
4.18,-0.0325,-0.04,9.7993,0.5416,-0.2532,0.5138
4.2,-0.0334,0.0242,9.8292,-0.2021,-0.1893,-0.6267
4.22,-0.0241,0.0264,9.8559,-0.8145,-0.1453,1.0217
4.24,0.0369,0.0483,9.8466,-0.1235,-0.5689,-0.7607
4.26,0.0097,-0.0192,9.7869,0.5304,0.3554,-0.4271
4.28,0.0515,0.046,9.7426,-0.116,-0.6701,0.8138
4.3,0.0087,-0.0193,9.8041,-0.9033,0.7393,-0.2088
4.32,0.0243,-0.0158,9.7676,-0.0351,-0.9127,0.6014
4.34,0.0624,0.0332,9.7806,-1.1071,0.0873,-0.2309
4.36,0.0149,0.0438,9.8035,0.2645,-0.8142,0.6303
4.38,-0.0271,-0.0271,9.7666,-0.2611,0.272,0.2869
